Feature,Importance,Cluster
n_courses_escuela_innovacion,0.5842220093117777,0
n_courses_escuela_digital,0.152273838402277,0
n_courses_escuela_pensamiento,0.06614494259897429,0
n_courses_escuela_formadores,0.06424356077943132,0
desarrollo_profesional_diff,0.04460902826193961,0
ciudadania_digital_diff,0.03490724737607027,0
gender,0.02819363297924285,0
pedagogia_diff,0.025405740290286923,0
n_courses_escuela_alfabetizaciones,0.0,0
n_courses_escuela_ciudadania,0.0,0
n_courses_escuela_matematicas,0.0,0
n_courses_escuela_matematicas,0.2361313888613713,1
ciudadania_digital_diff,0.14602584804414218,1
n_courses_escuela_formadores,0.12761713065246974,1
n_courses_escuela_innovacion,0.12280702516257215,1
desarrollo_profesional_diff,0.12268069090223867,1
pedagogia_diff,0.11837558009944259,1
n_courses_escuela_pensamiento,0.07800070084738757,1
gender,0.04631364365220778,1
n_courses_escuela_digital,0.0020479917781680373,1
n_courses_escuela_alfabetizaciones,0.0,1
n_courses_escuela_ciudadania,0.0,1
n_courses_escuela_innovacion,0.49433949304377317,2
n_courses_escuela_pensamiento,0.15457678989084328,2
n_courses_escuela_digital,0.11559395807219319,2
ciudadania_digital_diff,0.06139092985220531,2
desarrollo_profesional_diff,0.060855081211940124,2
pedagogia_diff,0.051700901650000616,2
gender,0.043132089647793,2
n_courses_escuela_formadores,0.018410756631251385,2
n_courses_escuela_alfabetizaciones,0.0,2
n_courses_escuela_ciudadania,0.0,2
n_courses_escuela_matematicas,0.0,2
